gross,genres,month
131564731,Action,6
131564731,Adventure,6
131564731,Family,6
131564731,Fantasy,6
133382309,Action,4
133382309,Adventure,4
133382309,Thriller,4
73103784,Action,6
73103784,Drama,6
73103784,Thriller,6
21379315,Action,3
21379315,Adventure,3
21379315,Animation,3
21379315,Comedy,3
21379315,Family,3
21379315,Sci-Fi,3
64459316,Adventure,10
64459316,Animation,10
64459316,Comedy,10
64459316,Family,10
34964818,Adventure,9
34964818,Adventure,9
34964818,Adventure,9
34964818,Family,9
34964818,Family,9
34964818,Family,9
34964818,Fantasy,9
34964818,Fantasy,9
34964818,Fantasy,9
111505642,Adventure,2
111505642,Animation,2
111505642,Comedy,2
111505642,Family,2
111505642,Sci-Fi,2
133228348,Adventure,5
216366733,Adventure,5
216366733,Animation,5
216366733,Comedy,5
216366733,Family,5
160201106,Action,11
160201106,Adventure,11
160201106,Thriller,11
118099659,Action,7
118099659,Action,7
118099659,Comedy,7
118099659,Comedy,7
118099659,Fantasy,7
118099659,Fantasy,7
118099659,Sci-Fi,7
118099659,Sci-Fi,7
201573391,Action,6
201573391,Adventure,6
201573391,Sci-Fi,6
201573391,Thriller,6
190418803,Action,7
190418803,Adventure,7
190418803,Comedy,7
190418803,Family,7
190418803,Fantasy,7
190418803,Mystery,7
190418803,Sci-Fi,7
82161969,Action,11
82161969,Adventure,11
82161969,Animation,11
82161969,Fantasy,11
143523463,Action,1
143523463,Adventure,1
143523463,Animation,1
143523463,Comedy,1
143523463,Family,1
209364921,Action,12
209364921,Adventure,12
209364921,Thriller,12
103400692,Adventure,10
103400692,Animation,10
103400692,Family,10
103400692,Fantasy,10
110332737,Comedy,12
110332737,Crime,12
111110575,Action,11
111110575,Drama,11
111110575,History,11
111110575,War,11
65007045,Action,12
65007045,Action,12
65007045,Adventure,12
65007045,Adventure,12
65007045,Drama,12
65007045,Drama,12
257704099,Action,4
257704099,Adventure,4
257704099,Sci-Fi,4
403706375,Action,4
403706375,Adventure,4
403706375,Fantasy,4
403706375,Romance,4
176997107,Action,5
176997107,Adventure,5
176997107,Animation,5
176997107,Comedy,5
176997107,Family,5
176997107,Fantasy,5
31141074,Action,2
31141074,Adventure,2
31141074,Fantasy,2
31704416,Action,7
31704416,Adventure,7
31704416,Sci-Fi,7
31704416,Thriller,7
107503316,Action,2
107503316,Drama,2
107503316,Mystery,2
107503316,Sci-Fi,2
129734803,Action,7
129734803,Crime,7
129734803,Thriller,7
132122995,Action,6
132122995,Sci-Fi,6
122512052,Action,3
122512052,Adventure,3
122512052,Sci-Fi,3
122512052,Thriller,3
68642452,Action,4
68642452,Adventure,4
68642452,Comedy,4
68642452,Thriller,4
32131830,Action,7
32131830,Adventure,7
32131830,Animation,7
32131830,Fantasy,7
32131830,Romance,7
32131830,Sci-Fi,7
176636816,Action,7
176636816,Adventure,7
176636816,Sci-Fi,7
126930660,Action,11
126930660,Adventure,11
126930660,Thriller,11
93926386,Action,11
93926386,Adventure,11
93926386,Drama,11
93926386,History,11
93926386,War,11
292298923,Adventure,11
292298923,Adventure,11
292298923,Drama,11
292298923,Drama,11
292298923,Fantasy,11
292298923,Fantasy,11
292298923,Romance,11
292298923,Romance,11
63992328,Animation,11
63992328,Comedy,11
63992328,Family,11
63992328,Musical,11
134518390,Action,6
134518390,Adventure,6
134518390,Sci-Fi,6
52792307,Adventure,5
52792307,Family,5
52792307,Fantasy,5
183635922,Adventure,12
183635922,Drama,12
183635922,Thriller,12
183635922,Western,12
83024900,Adventure,7
83024900,Animation,7
83024900,Comedy,7
83024900,Family,7
83024900,Sport,7
123207194,Adventure,2
123207194,Animation,2
123207194,Comedy,2
123207194,Family,2
123207194,Western,2
83348920,Adventure,11
83348920,Animation,11
83348920,Comedy,11
83348920,Family,11
227137090,Action,7
227137090,Mystery,7
227137090,Thriller,7
215395021,Action,5
215395021,Adventure,5
215395021,Animation,5
215395021,Comedy,5
215395021,Family,5
180191634,Action,6
180191634,Adventure,6
180191634,Comedy,6
180191634,Sci-Fi,6
424645577,Adventure,11
424645577,Sci-Fi,11
424645577,Thriller,11
292298923,Adventure,11
292298923,Adventure,11
292298923,Drama,11
292298923,Drama,11
292298923,Fantasy,11
292298923,Fantasy,11
292298923,Romance,11
292298923,Romance,11
177343675,Adventure,3
177343675,Adventure,3
177343675,Adventure,3
177343675,Animation,3
177343675,Animation,3
177343675,Animation,3
177343675,Comedy,3
177343675,Comedy,3
